Id,PostId,VoteTypeId,UserId,CreationDate,BountyAmount,id
"87700394","29821391","2","","2015-04-23 00:00:00","","29821391"
"195673468","48961000","2","","2019-10-09 00:00:00","","48961000"
"195674146","57848864","2","","2019-10-09 00:00:00","","57848864"
"195676626","39932500","2","","2019-10-09 00:00:00","","39932500"
"195678359","58306667","16","","2019-10-09 00:00:00","","58306667"
"168919784","51454764","5","514329","2018-08-08 00:00:00","","51454764"
"195767939","38071714","5","12197761","2019-10-10 00:00:00","","38071714"
"114607821","37413626","2","","2016-05-24 00:00:00","","37413626"
"114607823","37413626","5","29689","2016-05-24 00:00:00","","37413626"
"169011735","29644916","5","4504720","2018-08-09 00:00:00","","29644916"
"142851390","39467200","5","1015090","2017-07-14 00:00:00","","39467200"
"169117604","51726683","8","292291","2018-08-11 00:00:00","500","51726683"
"195882656","47544877","2","","2019-10-13 00:00:00","","47544877"
"195883481","43328943","2","","2019-10-13 00:00:00","","43328943"
"195883717","41161769","2","","2019-10-13 00:00:00","","41161769"
"195883973","58306667","2","","2019-10-13 00:00:00","","58306667"
"169121815","27865238","2","","2018-08-11 00:00:00","","27865238"
"169122823","47793065","2","","2018-08-11 00:00:00","","47793065"
"142863149","45111662","2","","2017-07-15 00:00:00","","45111662"
"169200097","51726683","2","","2018-08-13 00:00:00","","51726683"
"169200828","51726683","5","5530315","2018-08-13 00:00:00","","51726683"
"195969455","46131196","2","","2019-10-14 00:00:00","","46131196"
"195974457","55273667","2","","2019-10-15 00:00:00","","55273667"
"169207366","49612911","2","","2018-08-13 00:00:00","","49612911"
"88163569","28500066","5","923560","2015-04-29 00:00:00","","28500066"
"88163571","28500066","2","","2015-04-29 00:00:00","","28500066"
"143049792","34439201","2","","2017-07-18 00:00:00","","34439201"
"114935276","36238043","5","3018377","2016-05-29 00:00:00","","36238043"
"143058309","26616962","2","","2017-07-18 00:00:00","","26616962"
"169304913","46131196","2","","2018-08-14 00:00:00","","46131196"
"115051338","36157778","2","","2016-05-31 00:00:00","","36157778"
"115051340","36157778","5","2476861","2016-05-31 00:00:00","","36157778"
"143181593","34295221","2","","2017-07-19 00:00:00","","34295221"
"196196432","52829712","2","","2019-10-18 00:00:00","","52829712"
"115055314","31786040","2","","2016-05-31 00:00:00","","31786040"
"115055316","31786040","5","327927","2016-05-31 00:00:00","","31786040"
"143189420","29117570","5","868305","2017-07-19 00:00:00","","29117570"
"196202209","29434226","2","","2019-10-18 00:00:00","","29434226"
"196202213","29434226","5","3693726","2019-10-18 00:00:00","","29434226"
"196204407","40567429","5","681671","2019-10-18 00:00:00","","40567429"
"60650496","20693516","2","","2014-01-14 00:00:00","","20693516"
"196302853","41880229","2","","2019-10-20 00:00:00","","41880229"
"196304082","45622414","5","5910038","2019-10-20 00:00:00","","45622414"
"196304083","45622414","2","","2019-10-20 00:00:00","","45622414"
"169517927","51889526","5","2593745","2018-08-17 00:00:00","","51889526"
"169518385","51889526","2","","2018-08-17 00:00:00","","51889526"
"196310538","35756663","2","","2019-10-20 00:00:00","","35756663"
"196310539","35756663","5","2328037","2019-10-20 00:00:00","","35756663"
"115183888","29460485","2","","2016-06-02 00:00:00","","29460485"
"169524431","45551966","2","","2018-08-17 00:00:00","","45551966"
"196404551","49318889","5","4044050","2019-10-22 00:00:00","","49318889"
"196404552","49318889","2","","2019-10-22 00:00:00","","49318889"
"196406541","58498471","3","","2019-10-22 00:00:00","","58498471"
"196406715","58498471","16","","2019-10-22 00:00:00","","58498471"
"196408888","40856925","2","","2019-10-22 00:00:00","","40856925"
"169612279","51918125","5","6872018","2018-08-19 00:00:00","","51918125"
"169612619","51916102","5","2312051","2018-08-19 00:00:00","","51916102"
"169613351","51918410","5","6872018","2018-08-19 00:00:00","","51918410"
"196410782","39485459","5","303254","2019-10-22 00:00:00","","39485459"
"196411230","29644916","2","","2019-10-22 00:00:00","","29644916"
"196415649","58498471","3","","2019-10-22 00:00:00","","58498471"
"196417521","33399988","2","","2019-10-22 00:00:00","","33399988"
"169620556","45655728","5","4840661","2018-08-19 00:00:00","","45655728"
"169620952","45453061","5","4840661","2018-08-19 00:00:00","","45453061"
"88673860","26331854","2","","2015-05-07 00:00:00","","26331854"
"196521843","55795435","2","","2019-10-23 00:00:00","","55795435"
"196521846","55795435","5","390906","2019-10-23 00:00:00","","55795435"
"169729036","29117570","2","","2018-08-21 00:00:00","","29117570"
"169729037","29117570","5","750729","2018-08-21 00:00:00","","29117570"
"169730010","41893494","5","379906","2018-08-21 00:00:00","","41893494"
"169730126","51942114","3","","2018-08-21 00:00:00","","51942114"
"115513144","37615250","3","","2016-06-07 00:00:00","","37615250"
"169818156","47451190","2","","2018-08-22 00:00:00","","47451190"
"196623220","45625886","2","","2019-10-25 00:00:00","","45625886"
"169828472","51923607","2","","2018-08-22 00:00:00","","51923607"
"169829731","51965342","2","","2018-08-22 00:00:00","","51965342"
"88797217","25600580","2","","2015-05-08 00:00:00","","25600580"
"196626990","29644916","5","9838757","2019-10-25 00:00:00","","29644916"
"115622437","37697171","2","","2016-06-08 00:00:00","","37697171"
"115622444","37697171","5","1183887","2016-06-08 00:00:00","","37697171"
"115622851","37697171","5","1856765","2016-06-08 00:00:00","","37697171"
"169921663","51993175","5","6872018","2018-08-23 00:00:00","","51993175"
"169922399","51993175","2","","2018-08-23 00:00:00","","51993175"
"115635173","37697171","5","1808649","2016-06-08 00:00:00","","37697171"
"143765316","44582199","5","6439808","2017-07-27 00:00:00","","44582199"
"196726850","46069921","2","","2019-10-27 00:00:00","","46069921"
"196832037","47017875","2","","2019-10-29 00:00:00","","47017875"
"196832084","45776238","5","8218809","2019-10-29 00:00:00","","45776238"
"196832435","39764239","2","","2019-10-29 00:00:00","","39764239"
"143877980","44977364","5","4562258","2017-07-29 00:00:00","","44977364"
"115748383","37581538","2","","2016-06-10 00:00:00","","37581538"
"89044147","30116581","2","","2015-05-13 00:00:00","","30116581"
"89046010","25595492","2","","2015-05-13 00:00:00","","25595492"
"196837361","58608169","2","","2019-10-29 00:00:00","","58608169"
"196837470","58608169","3","","2019-10-29 00:00:00","","58608169"
"196837472","56936669","2","","2019-10-29 00:00:00","","56936669"
"143887163","43609390","2","","2017-07-29 00:00:00","","43609390"
"143889833","45390260","3","","2017-07-29 00:00:00","","45390260"
"143890557","45390260","2","","2017-07-29 00:00:00","","45390260"
"143890729","45390260","5","1390678","2017-07-29 00:00:00","","45390260"
"115761012","37738759","3","","2016-06-10 00:00:00","","37738759"
"115887352","30422184","2","","2016-06-12 00:00:00","","30422184"
"115887950","29704842","2","","2016-06-12 00:00:00","","29704842"
"144016672","45420766","2","","2017-07-31 00:00:00","","45420766"
"144020833","45311236","2","","2017-07-31 00:00:00","","45311236"
"170156752","44038536","2","","2018-08-28 00:00:00","","44038536"
"170157075","51481780","2","","2018-08-28 00:00:00","","51481780"
"170162292","46462610","2","","2018-08-28 00:00:00","","46462610"
"196960281","52736868","2","","2019-10-31 00:00:00","","52736868"
"196960365","38071714","2","","2019-10-31 00:00:00","","38071714"
"196963901","52736868","2","","2019-10-31 00:00:00","","52736868"
"170265791","33125508","2","","2018-08-29 00:00:00","","33125508"
"170269391","52051459","2","","2018-08-29 00:00:00","","52051459"
"89330967","30286443","2","","2015-05-17 00:00:00","","30286443"
"89330968","30286443","5","6309","2015-05-17 00:00:00","","30286443"
"170273967","52010721","5","4244007","2018-08-29 00:00:00","","52010721"
"116020717","29315097","2","","2016-06-14 00:00:00","","29315097"
"144150813","30213456","2","","2017-08-02 00:00:00","","30213456"
"144150824","30213456","5","2614103","2017-08-02 00:00:00","","30213456"
"197165423","30296587","2","","2019-11-04 00:00:00","","30296587"
"170364128","38071714","2","","2018-08-30 00:00:00","","38071714"
"116118260","29117570","2","","2016-06-15 00:00:00","","29117570"
"197172146","39763013","2","","2019-11-04 00:00:00","","39763013"
"144260770","26331854","2","","2017-08-03 00:00:00","","26331854"
"197178791","47793065","2","","2019-11-04 00:00:00","","47793065"
"116132592","30422184","2","","2016-06-16 00:00:00","","30422184"
"197286044","58593774","2","","2019-11-06 00:00:00","","58593774"
"197286719","38071714","2","","2019-11-06 00:00:00","","38071714"
"197286724","38071714","5","7439845","2019-11-06 00:00:00","","38071714"
"197287553","55394469","2","","2019-11-06 00:00:00","","55394469"
"116244784","37143689","2","","2016-06-17 00:00:00","","37143689"
"170478504","44645743","2","","2018-09-01 00:00:00","","44645743"
"144383562","45482847","16","","2017-08-05 00:00:00","","45482847"
"197295599","32741333","2","","2019-11-06 00:00:00","","32741333"
